employee_id,date,month,quarter,year,is_holiday_season,is_q4,sales,training_hours,performance_score,deals_closed,customer_meetings,department,region,experience_years,base_performance,territory_size,market_potential,competition_level
EMP0001,2022-01-01,1,1,2022,0,0,53018.28660490247,1,71.48632755819949,3,28,West,Region_E,15,1.185595153449124,238,1.0968501579464869,0.6120829269975138
EMP0118,2022-01-01,1,1,2022,0,0,28719.035393986862,1,67.75813091019505,2,72,South,Region_D,2,0.8578830759797783,179,0.5878681112426568,0.39717734140941424
EMP0068,2022-01-01,1,1,2022,0,0,28428.32098282389,16,80.80974632716242,3,70,West,Region_A,13,1.3164185827969603,226,0.5534852967473689,0.9709790478182387
EMP0008,2022-01-01,1,1,2022,0,0,43762.763765745,6,68.9092259603041,3,43,West,Region_B,8,1.204289128254122,439,0.7079416628681888,0.697390229473994
EMP0067,2022-01-01,1,1,2022,0,0,44706.06010252869,3,79.26883182035004,7,98,West,Region_A,13,1.1919270083578994,404,0.6031238688359326,0.9317870346756966
EMP0143,2022-01-01,1,1,2022,0,0,65639.14485191522,17,76.51477485658741,3,31,East,Region_B,1,1.2204220933560084,224,1.027647730144786,0.6741191238800728
EMP0066,2022-01-01,1,1,2022,0,0,63339.12807161119,15,78.46420902015997,7,79,West,Region_B,17,1.2211303685935975,201,1.367116607209722,0.6933066845006415
EMP0119,2022-01-01,1,1,2022,0,0,52714.02828794467,9,72.09921743959559,5,85,North,Region_A,9,1.0765109924862755,457,1.1061018810558387,0.8560026149765236
EMP0065,2022-01-01,1,1,2022,0,0,44581.94398870478,15,58.8667037002698,4,43,Central,Region_A,4,0.7419516350237783,457,1.3068347392672641,0.9933535994004713
EMP0064,2022-01-01,1,1,2022,0,0,27265.617112103875,16,67.02816854244762,3,51,West,Region_B,18,1.1031542774239071,462,0.5391863266756463,0.5925622222009052
EMP0063,2022-01-01,1,1,2022,0,0,36838.936633775884,18,68.0278958416155,6,49,North,Region_B,8,0.908317296772452,139,0.84062456946424,0.48248616976513214
EMP0136,2022-01-01,1,1,2022,0,0,48026.3874116127,35,68.1724525857324,3,77,North,Region_A,19,1.0730203485959433,198,0.8793056983855488,0.8209747562903021
EMP0062,2022-01-01,1,1,2022,0,0,21205.97781006749,38,54.62866300044708,3,33,Central,Region_E,12,0.6806224011019413,435,0.5389631323102336,0.732777719036525
EMP0120,2022-01-01,1,1,2022,0,0,65821.73291683775,21,68.3878654895787,5,20,North,Region_E,12,0.9268146343487335,422,1.2308674752036444,0.9568383197747264
EMP0061,2022-01-01,1,1,2022,0,0,58713.052251171204,0,61.046878208124994,8,61,East,Region_E,12,0.9088821102406194,466,1.1514847718577879,0.44467905191372176
EMP0060,2022-01-01,1,1,2022,0,0,25504.707915989497,7,63.31126347787628,3,78,North,Region_D,12,0.9105359409652175,429,0.6285003532339102,0.867842923715202
EMP0059,2022-01-01,1,1,2022,0,0,31132.57481944401,38,71.59254811730496,2,41,South,Region_A,5,1.1471710155185129,65,0.5705687474004298,0.7496934947444209
EMP0121,2022-01-01,1,1,2022,0,0,52000.90432655666,15,84.51838325645537,5,85,West,Region_C,3,1.3411595388717688,369,1.074473113179912,0.8892801437307903
EMP0058,2022-01-01,1,1,2022,0,0,68818.69070798418,25,78.56415158558534,10,74,South,Region_B,5,1.3093443098384379,229,0.8746126146264712,0.7381019409999654
EMP0057,2022-01-01,1,1,2022,0,0,35073.67731632955,25,70.08492220894968,4,97,West,Region_B,16,1.2455303816406236,149,0.6732018699100152,0.6036961544665811
EMP0010,2022-01-01,1,1,2022,0,0,42939.971231659896,28,81.29824010806198,7,68,West,Region_A,8,1.275627078942521,286,0.7713490317738959,0.8801162564063505
EMP0056,2022-01-01,1,1,2022,0,0,49693.78229061909,2,60.12275626411292,1,96,Central,Region_D,5,0.6753255906148481,143,1.3554605840110072,0.7925605015660165
EMP0055,2022-01-01,1,1,2022,0,0,24851.946449387164,3,74.77784469659393,2,61,Central,Region_E,3,0.7981847916009259,193,0.658646447642491,0.38411525346394954
EMP0122,2022-01-01,1,1,2022,0,0,41612.68651443354,32,60.813939541173916,4,85,East,Region_A,5,0.7613018560381956,335,1.3251326766927973,0.43048349075170084
EMP0054,2022-01-01,1,1,2022,0,0,96824.36750381946,23,90.22861839895968,10,96,South,Region_A,8,1.3476911978717676,434,1.454865280663194,0.816527841687038
EMP0053,2022-01-01,1,1,2022,0,0,47997.430465093734,17,66.45449034097382,6,54,South,Region_E,9,1.150799920612293,178,0.6732943200708458,0.4095059298697602
EMP0069,2022-01-01,1,1,2022,0,0,67854.86309282278,36,64.73586699824646,7,54,East,Region_D,9,0.8554509100723319,255,1.1767699044243032,0.6377646647498497
EMP0070,2022-01-01,1,1,2022,0,0,43715.02440150842,8,69.16694380293859,4,79,South,Region_E,5,0.8345686173584516,74,1.0537030523458006,0.44890952651696026
